frame;n_blobs;blob_id;blob_classification;blob_classification_color;blob_motion_index;blob_positive_index;blob_contour_std_deviation;blob_centerX;blob_centerY;blob_speedX;blob_speedY;blob_minX;blob_minY;blob_maxX;blob_maxY;blob_area;blob_perimeter;blob_convex_hull_area;blob_convex_hull_perimeter;blob_aspect_ratio;blob_extent_ratio;blob_solidity_ratio;blob_diameter;blob_compactness;blob_major_axis_rotation;blob_minor_axis_rotation;blob_rotation
19;1;0;person;blue;14;20;49,03827939541135;294,68587763981367;149,14269918060808;1,6156498588754857;-1,4304738636373884;270;49;320;240;7030,0;459,5391036272049;8152,0;445,57071220874786;0,2617801047120419;0,7361256544502618;0,8623650637880275;94,60905876018529;30,03928702169203;51,8201904296875;203,42140197753906;177,80340576171875
20;1;0;person;blue;12;21;49,95260547294703;294,8870422186505;148,70327965226335;0,20116457883682415;-0,43941952834472886;272;49;320;240;6651,0;455,8822501897812;7779,0;442,8350542783737;0,2513089005235602;0,7254581151832461;0,8549942151947552;92,02345468430083;31,247726061960343;47,216800689697266;216,43800354003906;177,8530731201172
21;1;0;person;blue;10;22;45,62572474699534;295,8250663550483;149,509334935731;0,9380241363978143;0,8060552834676571;273;49;320;240;7222,5;455,63960886001587;7911,5;444,06197583675385;0,24607329842931938;0,804556087779882;0,9129115844024521;95,89563395613855;28,744541801607234;48,758872985839844;211,87489318847656;178,05650329589844
22;1;0;person;blue;8;23;44,81658715636472;295,5149517713842;151,05082113177244;-0,3101145836641308;1,5414861960414328;269;49;320;240;7588,5;457,78174459934235;8411,5;443,53275859355927;0,2670157068062827;0,7790267939636588;0,9021577602092373;98,2953624807538;27,61601445455854;50,54679489135742;208,5808563232422;178,5876007080078
23;1;0;person;blue;6;24;45,10646645447583;294,14779302712;151,26300674032996;-1,3671587442642021;0,2121856085575189;265;49;320;240;7918,0;460,85281252861023;8862,0;445,30351758003235;0,2879581151832461;0,7537363160399809;0,8934777702550214;100,4067264440636;26,82310113861207;52,19576644897461;214,87844848632812;179,2655029296875
24;1;0;person;blue;4;25;48,34556153214271;292,32905289712545;151,62855693794182;-1,8187401299945236;0,36555019761186713;260;49;320;240;8353,5;464,7523070573807;9422,0;447,2806009054184;0,31413612565445026;0,7289267015706806;0,8865952027170452;103,13101636726549;25,856791394643903;55,31804275512695;210,6296844482422;179,05641174316406
25;1;0;person;blue;5;26;49,5192434523553;289,30165172964934;150,95429130658297;-3,027401167476114;-0,6742656313588498;256;50;320;240;8682,0;461,1370840072632;9667,5;441,84609484672546;0,3368421052631579;0,7139802631578948;0,8980605120248254;105,1392682464106;24,492906040857143;58,974021911621094;195,4619598388672;178,48513793945312
26;1;0;person;blue;6;27;54,350125725684435;286,43629851341694;151,75593789444278;-2,8653532162323927;0,8016465878598069;250;50;320;240;9224,5;465,0365779399872;10212,5;443,0747563838959;0,3684210526315789;0,6935714285714286;0,9032558139534884;108,37434281419891;23,443982744011468;66,22129821777344;190,18214416503906;176,76502990722656
27;1;0;person;blue;7;28;50,635687611639945;282,49795161895906;151,8830170369035;-3,9383468944578794;0,1270791424607296;243;50;320;240;9597,0;473,76449942588806;10817,5;447,61851155757904;0,4052631578947368;0,6559808612440191;0,8871735613589091;110,54085177355635;23,387808785689515;70,78972625732422;188,0611572265625;175,59588623046875
28;1;0;person;blue;8;29;50,72209524107535;275,967037032775;150,343724576778;-6,530914586184053;-1,5392924601255231;238;46;315;240;9559,0;475,9066344499588;10609,0;449,50045120716095;0,39690721649484534;0,6399116347569955;0,9010274295409558;110,32178754952903;23,693600242021834;68,89387512207031;191,22727966308594;177,7253875732422
